"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Markdown", "vue", "CSS", "comment", "blank", "total"
"c:\Repositories\npmrungame\app\components\user\User_Target_2026_Games.vue", "vue", 0, 0, 0, 0, 425, 0, 5, 48, 478
"c:\Repositories\npmrungame\app\components\user\User_To_Play_Games.vue", "vue", 0, 0, 0, 0, 415, 0, 5, 48, 468
"c:\Repositories\npmrungame\app\composables\core\basicFunc.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 2, 4, 27
"c:\Repositories\npmrungame\app\composables\core\interfaces.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 1, 27, 155
"c:\Repositories\npmrungame\app\composables\data\handleData.ts", "TypeScript", 241, 0, 0, 0, 0, 0, 4, 49, 294
"c:\Repositories\npmrungame\app\composables\data\headerTables.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 6, 77
"c:\Repositories\npmrungame\app\composables\data\useGameCollectionStatus.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Repositories\npmrungame\app\error.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Repositories\npmrungame\app\layouts\Admin.vue", "vue", 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Repositories\npmrungame\app\layouts\Contact_Layout.vue", "vue", 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Repositories\npmrungame\app\layouts\Default.vue", "vue", 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Repositories\npmrungame\app\pages\about\index.vue", "vue", 0, 0, 0, 0, 110, 0, 5, 15, 130
"c:\Repositories\npmrungame\app\pages\admin\index.vue", "vue", 0, 0, 0, 0, 456, 0, 10, 53, 519
"c:\Repositories\npmrungame\app\pages\auth\steam\callback.vue", "vue", 0, 0, 0, 0, 122, 0, 0, 21, 143
"c:\Repositories\npmrungame\app\pages\blogs\[_blog].vue", "vue", 0, 0, 0, 0, 184, 0, 0, 41, 225
"c:\Repositories\npmrungame\app\pages\blogs\index.vue", "vue", 0, 0, 0, 0, 436, 0, 6, 51, 493
"c:\Repositories\npmrungame\app\pages\completed-games\index.vue", "vue", 0, 0, 0, 0, 451, 0, 8, 54, 513
"c:\Repositories\npmrungame\app\pages\contact\index.vue", "vue", 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Repositories\npmrungame\app\pages\discover\[_game].vue", "vue", 0, 0, 0, 0, 167, 0, 1, 31, 199
"c:\Repositories\npmrungame\app\pages\discover\index.vue", "vue", 0, 0, 0, 0, 295, 0, 8, 57, 360
"c:\Repositories\npmrungame\app\pages\game-detail\[_game].vue", "vue", 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Repositories\npmrungame\app\pages\index.vue", "vue", 0, 0, 0, 0, 755, 0, 20, 87, 862
"c:\Repositories\npmrungame\app\pages\profile\[id].vue", "vue", 0, 0, 0, 0, 596, 0, 10, 63, 669
"c:\Repositories\npmrungame\app\pages\recommend-games\index.vue", "vue", 0, 0, 0, 0, 417, 0, 6, 72, 495
"c:\Repositories\npmrungame\app\pages\to-play-games\index.vue", "vue", 0, 0, 0, 0, 382, 0, 6, 48, 436
"c:\Repositories\npmrungame\app\plugins\2.auth.client.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 6, 8, 63
"c:\Repositories\npmrungame\app\plugins\firebase.client.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Repositories\npmrungame\app\plugins\persistedstate.client.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Repositories\npmrungame\app\plugins\supabase.client.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Repositories\npmrungame\app\store\notifications.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 2, 16, 107
"c:\Repositories\npmrungame\app\store\queryStore.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Repositories\npmrungame\app\store\store.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 1, 4, 98
"c:\Repositories\npmrungame\app\store\votes.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Repositories\npmrungame\app\utils\Admin.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Repositories\npmrungame\app\utils\Feature_Card.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 2, 45
"c:\Repositories\npmrungame\app\utils\Footer_Links.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 3, 66
"c:\Repositories\npmrungame\app\utils\Game_Categories_List.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Repositories\npmrungame\app\utils\Game_Genres.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 2, 61
"c:\Repositories\npmrungame\app\utils\Navbar_List.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Repositories\npmrungame\app\utils\UserDashboard.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Repositories\npmrungame\nuxt.config.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 2, 85
"c:\Repositories\npmrungame\package-lock.json", "JSON", 0, 13442, 0, 0, 0, 0, 0, 1, 13443
"c:\Repositories\npmrungame\package.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Repositories\npmrungame\server\api\admin\admin-credential.get.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Repositories\npmrungame\server\api\contact.post.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 12, 59
"c:\Repositories\npmrungame\server\api\game-details.get.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Repositories\npmrungame\server\api\game-screenshots.get.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Repositories\npmrungame\server\api\games-by-filter.get.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 12, 59
"c:\Repositories\npmrungame\server\api\games.get.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 4, 15, 67
"c:\Repositories\npmrungame\server\api\search-games.get.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Repositories\npmrungame\server\api\steam\owned-games.get.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Repositories\npmrungame\server\api\steam\player-achievements.get.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Repositories\npmrungame\server\api\steam\player-summary.get.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Repositories\npmrungame\server\api\youtube-channel-infos.get.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Repositories\npmrungame\tsconfig.custom.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Repositories\npmrungame\tsconfig.json", "JSON with Comments", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Repositories\npmrungame\types\vanta.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 1498, 13485, 20, 60, 15461, 2175, 359, 2594, 35652
